utility_bin,n,low_risk_miss,high_risk_miss,delta_miss_high_minus_low,low_risk_ndcg,high_risk_ndcg,delta_ndcg_high_minus_low,low_risk_utility,high_risk_utility,low_risk_risk,high_risk_risk,dataset
0,1000,0.938,0.972,0.03400000000000003,0.028958283260677346,0.011096552209352496,-0.01786173105132485,3.203067782640457,3.3465916438102723,0.31856772595643995,0.9552315117120743,Amazon-VideoGames
1,1000,0.9,0.924,0.02400000000000002,0.04979424476069423,0.03578996117118417,-0.014004283589510058,4.593021850585938,4.558499713897705,0.35732041889429095,1.0919916477203369,Amazon-VideoGames
2,1000,0.896,0.972,0.07599999999999996,0.059895426409657775,0.012846155693646182,-0.047049270716011594,5.650420858383178,5.654871175765991,0.35350948867201804,1.2518098644018174,Amazon-VideoGames
3,1000,0.926,0.972,0.04599999999999993,0.03570470016178507,0.01267392964947573,-0.02303077051230934,7.002511570930481,7.053111210823059,0.46173983423411846,1.5442352076768875,Amazon-VideoGames
4,1000,0.944,0.99,0.04600000000000004,0.029855119760913068,0.004059887479047958,-0.02579523228186511,9.265649667739869,10.165415010452271,0.8146573999524116,2.6795532555580137,Amazon-VideoGames
0,1207,0.87893864013267,0.8509933774834437,-0.027945262649226255,0.05753840746599594,0.07414599483095351,0.016607587364957564,8.474179047257152,8.318324089050293,0.5527108874709452,1.314319976809009,ML-1M
1,1207,0.8822553897180763,0.9188741721854304,0.03661878246735417,0.05914276876013208,0.04086043478295362,-0.01828233397717846,9.710070070738025,9.800719597481734,0.6613183152764591,1.451482639999579,ML-1M
2,1207,0.9237147595356551,0.9470198675496688,0.023305108014013753,0.03693820127615134,0.021528716950486533,-0.015409484325664809,10.566106927533253,10.691383121818896,0.999945888274147,1.8103256715054543,ML-1M
3,1207,0.9618573797678275,0.9735099337748344,0.011652554007006932,0.019130829845841187,0.014663698395050105,-0.0044671314507910825,11.389817198315267,11.499078771136455,1.503999016178188,2.3878398202112967,ML-1M
4,1207,0.9767827529021559,0.9801324503311258,0.0033496974289699555,0.01051099329001656,0.008524736040311143,-0.0019862572497054178,12.29366969587791,12.715781541849603,2.17904505207764,3.3441104036293283,ML-1M
0,1000,0.872,0.928,0.05600000000000005,0.06014428424785024,0.03461354037479519,-0.025530743873055047,7.623767411708831,7.413912644863129,0.37608972255885603,0.8211527738571167,ML-20M
1,1000,0.83,0.876,0.04600000000000004,0.07910416461082954,0.0690404545584452,-0.01006371005238435,9.258416877746582,9.292886598587035,0.3160694395750761,0.7134985132217407,ML-20M
2,1000,0.902,0.928,0.026000000000000023,0.051213684246514665,0.03501579275968677,-0.016197891486827896,9.976828477859497,10.043036260604858,0.4305875133574009,0.8245487631559372,ML-20M
3,1000,0.95,0.964,0.014000000000000012,0.02282705080733867,0.018955360492788856,-0.003871690314549814,10.662330722808838,10.739649196624756,0.5798200786113739,0.9902636457681656,ML-20M
4,1000,0.966,0.974,0.008000000000000007,0.014697801754173562,0.011675444365801226,-0.003022357388372336,11.470374006271362,11.697862319946289,0.76517753636837,1.278025190591812,ML-20M
