dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,proxy_gap_vs_quota_u_mean
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2025,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13593492126464843,0.9050170212298632,6.034104805350304,0.0
Amazon-VideoGames,QuotaGate-RDU-Old,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02753957462310791,0.795387370172143,5.946724886107445,0.08737991924285904
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026822703862190246,0.7953955209761858,5.946079842352867,0.08802496299743723
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02677900297641754,0.7953605584412813,5.9457865529775615,0.08831825237274238
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2025,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07928897384405165
Amazon-VideoGames,Penalty,0.9,10,1.0,2025,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10853107962608366
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2026,0.9006,0.0566,0.0566,0.028053381295382065,0.0982,0.13590712659358978,0.9049771301299333,6.033805025839806,0.0
Amazon-VideoGames,QuotaGate-RDU-Old,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027778701877593993,0.7956821882396936,5.9467069122076035,0.08709811363220243
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026804467368125917,0.7953812229901552,5.945702042460441,0.08810298337936473
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2026,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02726472477912903,0.795837617328763,5.946201088500023,0.08760393733978322
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2026,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07898919433355367
Amazon-VideoGames,Penalty,0.9,10,1.0,2026,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10823130011558568
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2027,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13659339385032654,0.9057047969847918,6.034404144215584,0.0
Amazon-VideoGames,QuotaGate-RDU-Old,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.02819804720878601,0.7960751459270716,5.947024224972725,0.08737991924285904
Amazon-VideoGames,QuotaGate-RDU-EWBE,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027481176447868346,0.7960832967311144,5.9463791812181475,0.08802496299743634
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2027,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.027437475562095644,0.7960483341962099,5.946085891842842,0.08831825237274149
Amazon-VideoGames,AdaptivePenalty,0.9,10,1.0,2027,0.9008,0.058,0.058,0.02851952150681314,0.0982,0.05606339280605316,0.718343799868226,5.954815831506252,0.07958831270933153
Amazon-VideoGames,Penalty,0.9,10,1.0,2027,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10883041849136355
ML-1M,QuotaGate-U,0.9,10,1.0,2025,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09726594863297432,0.09964572369212836,1.4950849553019228,10.540611937111235,0.0
ML-1M,QuotaGate-RDU-Old,0.9,10,1.0,2025,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.023056653740984808,1.4149702597758251,10.504769592790833,0.03584234432040212
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022008943178481875,1.4157345169903626,10.504679592957453,0.03593234415378177
ML-1M,WBEThreshold,0.9,10,1.0,2025,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022007312490215168,1.4157259638275406,10.504654612063176,0.035957325048059374
ML-1M,AdaptivePenalty,0.9,10,1.0,2025,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.03828913713153348
ML-1M,Penalty,0.9,10,1.0,2025,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.020156904598257697
ML-1M,QuotaGate-U,0.9,10,1.0,2026,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09743164871582435,0.0999494116940376,1.4953782503713036,10.540692576872187,0.0
ML-1M,QuotaGate-RDU-Old,0.9,10,1.0,2026,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.09776304888152444,0.02339820186264178,1.415255107005322,10.504852205796388,0.03584037107579974
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09726594863297432,0.02233399056163621,1.4160190484485748,10.504766275552846,0.035926301319340936
ML-1M,WBEThreshold,0.9,10,1.0,2026,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09726594863297432,0.02233554543793054,1.4159972053166254,10.504725722034015,0.03596685483817197
ML-1M,AdaptivePenalty,0.9,10,1.0,2026,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038369776892485774
ML-1M,Penalty,0.9,10,1.0,2026,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.02023754435920999
ML-1M,QuotaGate-U,0.9,10,1.0,2027,0.9000828500414251,0.07141673570836786,0.07141673570836786,0.03459148887901735,0.09726594863297432,0.09962929959522365,1.4950631899967506,10.540665545301588,0.0
ML-1M,QuotaGate-RDU-Old,0.9,10,1.0,2027,0.9000828500414251,0.07108533554266777,0.07108533554266777,0.03457363331633832,0.0975973487986744,0.023139731297338918,1.4149889715651687,10.504840007614478,0.03582553768710994
ML-1M,QuotaGate-RDU-EWBE,0.9,10,1.0,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022046407685362816,1.415769589370751,10.504735828295363,0.03592971700622449
ML-1M,WBEThreshold,0.9,10,1.0,2027,0.9000828500414251,0.07091963545981773,0.07091963545981773,0.034534603431927935,0.09710024855012428,0.022061358920384178,1.4157427456510787,10.504719621678868,0.03594592362271953
ML-1M,AdaptivePenalty,0.9,10,1.0,2027,0.899751449875725,0.07125103562551781,0.07125103562551781,0.03515246065760193,0.09859154929577464,0.046173712707494256,1.2822006797101642,10.502322799979702,0.038342745321886085
ML-1M,Penalty,0.9,10,1.0,2027,0.8787075393537697,0.07141673570836786,0.07141673570836786,0.035313188177554654,0.11814415907207954,0.05979136165154307,1.3354794396197094,10.520455032512977,0.020210512788610302
ML-20M,QuotaGate-U,0.9,10,1.0,2025,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.04110835481643676,0.6467121976330876,9.814241341876984,0.0
ML-20M,QuotaGate-RDU-Old,0.9,10,1.0,2025,0.9002,0.0822,0.0822,0.04014195201048708,0.0962,0.008838240118026721,0.6126537733867764,9.788792618465424,0.025448723411560792
ML-20M,QuotaGate-RDU-EWBE,0.9,10,1.0,2025,0.9002,0.0824,0.0824,0.04024195201048708,0.0958,0.008285698215961443,0.61299941970855,9.789052284049987,0.02518905782699754
ML-20M,WBEThreshold,0.9,10,1.0,2025,0.9002,0.0824,0.0824,0.04024195201048708,0.0958,0.008279173700809465,0.61300711658746,9.78909069032669,0.02515065155029461
ML-20M,AdaptivePenalty,0.9,10,1.0,2025,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019417253756524033
ML-20M,Penalty,0.9,10,1.0,2025,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.01807199928760639
ML-20M,QuotaGate-U,0.9,10,1.0,2026,0.9002,0.082,0.082,0.03999219046513207,0.0968,0.04134416693925856,0.6471275888994336,9.81423357629776,0.0
ML-20M,QuotaGate-RDU-Old,0.9,10,1.0,2026,0.9002,0.082,0.082,0.040015766059772785,0.0964,0.008929703452587114,0.6129416456773877,9.788812700939179,0.02542087535858073
ML-20M,QuotaGate-RDU-EWBE,0.9,10,1.0,2026,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008360170674324022,0.6132424546554684,9.788996977806091,0.02523659849166826
ML-20M,WBEThreshold,0.9,10,1.0,2026,0.9002,0.0822,0.0822,0.04011576605977278,0.096,0.008347078466415393,0.613241785247624,9.789062012958526,0.025171563339233316
ML-20M,AdaptivePenalty,0.9,10,1.0,2026,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.01940948817729904
ML-20M,Penalty,0.9,10,1.0,2026,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.018064233708381394
ML-20M,QuotaGate-U,0.9,10,1.0,2027,0.9002,0.0822,0.0822,0.04011837641584636,0.0966,0.04116588421821593,0.6467303457811475,9.814264995479583,0.0
ML-20M,QuotaGate-RDU-Old,0.9,10,1.0,2027,0.9002,0.0822,0.0822,0.04014195201048708,0.0962,0.008814980549812305,0.6126042525961995,9.78882555437088,0.025439441108702
ML-20M,QuotaGate-RDU-EWBE,0.9,10,1.0,2027,0.9002,0.0824,0.0824,0.04024195201048708,0.0958,0.008266227881908403,0.6129380303457379,9.78904631767273,0.02521867780685305
ML-20M,WBEThreshold,0.9,10,1.0,2027,0.9002,0.0824,0.0824,0.04024195201048708,0.0958,0.008261740748882281,0.612940308649838,9.78910882101059,0.025156174468992987
ML-20M,AdaptivePenalty,0.9,10,1.0,2027,0.9002,0.0846,0.0846,0.04044549332856939,0.0964,0.019120929982662186,0.5735938640624285,9.79482408812046,0.019440907359122406
ML-20M,Penalty,0.9,10,1.0,2027,0.9018,0.0832,0.0832,0.04002887178759867,0.095,0.018743225264549242,0.5749479637980461,9.796169342589378,0.01809565289020476
