dataset,method,cand_n,B,target_tau,highrisk_threshold,B_table,B_record,B_source,compliance_mean,hit_mean,recall_mean,ndcg_mean,served_risk_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_compliance_mean,highrisk_hit_mean,highrisk_ndcg_mean,highrisk_bad_exposure_rate,highrisk_weighted_bad_exposure_mean,highrisk_risk_weighted_miss_mean,alpha
Amazon-VideoGames,OCQuota(alpha=0.0),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9006,0.0748,0.0748,0.03794548740161138,0.9400579539254308,0.0982,0.13669173119068145,0.895022252894938,0.503,0.025,0.011262631086475672,0.491,0.6834586559534073,2.0595402716994284,0.0
Amazon-VideoGames,OCQuota(alpha=0.05),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9004,0.0748,0.0748,0.03794548740161138,0.9388181705668569,0.0984,0.13545660064220427,0.8937824695363641,0.502,0.025,0.011262631086475672,0.492,0.6772830032110214,2.053341354906559,0.05
Amazon-VideoGames,OCQuota(alpha=0.1),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9004,0.0748,0.0748,0.03794548740161138,0.9372657265141606,0.0984,0.13391823961734772,0.8922300254836678,0.502,0.025,0.011262631086475672,0.492,0.6695911980867386,2.045579134643078,0.1
Amazon-VideoGames,OCQuota(alpha=0.25),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9004,0.0748,0.0748,0.03793935827758607,0.9325961150839924,0.0982,0.12906725540161132,0.887518281699717,0.502,0.025,0.011231985466349152,0.491,0.6453362770080566,2.0220204157233237,0.25
Amazon-VideoGames,OCQuota(alpha=0.5),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.0746,0.0746,0.03787269161091941,0.9118580953553319,0.0982,0.10840175964832306,0.8672994106307625,0.501,0.024,0.010898652133015819,0.491,0.5420087982416153,1.9209260603785514,0.5
Amazon-VideoGames,OCQuota(alpha=1.0),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.0748,0.0748,0.037946075583352355,0.8722180894330144,0.0976,0.06935255916118621,0.8278924391046166,0.501,0.025,0.011265571995180551,0.488,0.3467627958059311,1.7238912027478217,1.0
Amazon-VideoGames,OCQuota(alpha=2.0),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.075,0.075,0.03800388854861593,0.8427228354647756,0.0966,0.04012910394668579,0.7978917285934091,0.501,0.026,0.011554636821498439,0.483,0.20064551973342895,1.573887650191784,2.0
Amazon-VideoGames,OCQuota(alpha=4.0),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.075,0.075,0.037990023860230614,0.8333551269963384,0.0964,0.030778445529937744,0.7884076542392373,0.501,0.026,0.011485313379571831,0.482,0.1538922276496887,1.5264672784209252,4.0
Amazon-VideoGames,OCQuota(alpha=8.0),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.075,0.075,0.03803007449933023,0.8319003890946507,0.096,0.029094705629348756,0.7867162773147225,0.501,0.026,0.011685566575069896,0.48,0.14547352814674377,1.5180103937983513,8.0
Amazon-VideoGames,OCQuota(alpha=16.0),17286,1.4568411111831665,0.9,1.4568411111831665,1.4568411111831665,0.0,cand_table,0.9002,0.075,0.075,0.03804723906164434,0.830961760802567,0.0964,0.028793523621559142,0.7861965771451592,0.501,0.026,0.011771389386640458,0.482,0.1439676181077957,1.515411892950535,16.0
