dataset,method,compliance_mean,compliance_min,tau_tracking_mae,reward_mean,reward_gap_to_oracle_mean,reward_gap_to_oracle_max
Amazon-VideoGames,mu,0.7348599999999998,0.709,0.16514000000000004,0.9981186175346375,,
Amazon-VideoGames,penalty,0.78248,0.766,0.11752000000000003,0.9981176435947419,,
Amazon-VideoGames,hard,1.0,1.0,0.09999999999999996,0.9980572056770325,,
Amazon-VideoGames,quota,0.90134,0.901,0.0013400000000000011,0.9981263840198517,,
Amazon-VideoGames,primal_dual,0.9003400000000003,0.896,0.0013000000000000012,0.8410025691986084,,
ML-1M,mu,0.8491699999999999,0.8,0.05083000000000002,0.9982070767879486,,
ML-1M,penalty,0.9078,0.8835,0.008979999999999993,0.9983111143112182,,
ML-1M,hard,0.99994,0.998,0.09993999999999996,0.9981087827682495,,
ML-1M,quota,0.89976,0.898,0.0007600000000000007,0.9982116222381592,,
ML-1M,primal_dual,0.9258200000000001,0.9,0.02582,0.8769507920742035,,
ML-20M,mu,0.7431,0.729,0.15690000000000004,0.996295589208603,,
ML-20M,penalty,0.86662,0.856,0.03358000000000003,0.9961193478107453,,
ML-20M,hard,1.0,1.0,0.09999999999999996,0.9961403262615204,,
ML-20M,quota,0.9011800000000001,0.9,0.0011800000000000011,0.9962425601482391,,
ML-20M,primal_dual,0.9004599999999999,0.897,0.001140000000000001,0.8302936750650406,,
