dataset,method,compliance_mean,hit_mean,ndcg_mean,reward_gap_to_oracle_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,highrisk_weighted_bad_exposure_mean
Amazon-VideoGames,Penalty,0.9,0.0566,0.028091016541037378,0.0652856692552568,0.0992,0.05404387686252594,0.7235676751092076,0.2702193843126297
Amazon-VideoGames,Primal-Dual,0.902,0.0566,0.02807601073393515,0.0040374916553505,0.0968,0.1384195702791214,0.907288742056489,0.692097851395607
Amazon-VideoGames,QuotaGateV6,0.9006,0.0566,0.02807601073393515,0.004448503541946813,0.0984,0.13725502064228057,0.9063813670188189,0.686275103211403
Amazon-VideoGames,OC-Quota,0.9002,0.0564,0.02803887088346388,0.09318719696998645,0.0968,0.028995139026641845,0.7976733563214541,0.14497569513320924
Amazon-VideoGames,Guarded-OC-Quota,0.9004,0.0566,0.028053381295382065,0.00692780828476014,0.0982,0.1298755866765976,0.8990524537116289,0.649377933382988
ML-1M,Penalty,0.9000828500414251,0.07141673570836786,0.03532821347380057,0.0377454439272249,0.09726594863297432,0.04412744188664271,1.2782664800354442,0.22063720943321352
ML-1M,Primal-Dual,0.899751449875725,0.07141673570836786,0.034585581502488166,0.0002764304413123142,0.09809444904722453,0.09987705699253795,1.495546075480727,0.4993852849626897
ML-1M,QuotaGateV6,0.9000828500414251,0.07141673570836786,0.03459148887901735,0.0001947112190094913,0.09743164871582435,0.10023582438743106,1.495685232326376,0.5011791219371553
ML-1M,OC-Quota,0.9000828500414251,0.07091963545981773,0.034534603431927935,0.0355048835425702,0.09710024855012428,0.023350418172992757,1.4172340021895395,0.11675209086496378
ML-1M,Guarded-OC-Quota,0.9000828500414251,0.07108533554266777,0.03454635872178248,0.0036006214802384306,0.0975973487986744,0.08189508220037353,1.4792103725111276,0.40947541100186763
ML-20M,Penalty,0.9,0.0834,0.040081404742768674,0.01795592491626863,0.0968,0.01906023469448088,0.5760260943174362,0.0953011734724044
ML-20M,Primal-Dual,0.8998,0.0822,0.04009326499218873,0.00014952783584654128,0.0974,0.04167822164535521,0.6473377051070333,0.20839110822677603
ML-20M,QuotaGateV6,0.9002,0.0822,0.04011837641584636,0.0002097927093505092,0.0966,0.04148982828617095,0.6471076067999005,0.2074491414308547
ML-20M,OC-Quota,0.9002,0.0822,0.04011576605977278,0.025069210052491187,0.0958,0.008359132461547838,0.6133487662509084,0.04179566230773919
ML-20M,Guarded-OC-Quota,0.9002,0.0824,0.04016572640307869,0.0044490429878241144,0.096,0.02965657273530959,0.6355933561041951,0.14828286367654792
