dataset,section,method,tau_tracking_mae,compliance_mean,compliance_min,reward_mean,reward_gap_mean,reward_gap_max,reward_ratio_mean,sec_per_user,ms_per_user,overhead_vs_mu
Amazon-VideoGames,feedback_tracking,Penalty,0.11752000000000003,0.78248,0.766,0.9981176435947419,5.19871711730735e-06,0.00020617246627796515,0.9999947942447336,,,
Amazon-VideoGames,feedback_tracking,Primal-Dual,0.0013000000000000012,0.9003400000000003,0.896,0.8410025691986084,0.15712027311325072,0.3308812975883484,0.842485280721196,,,
Amazon-VideoGames,feedback_tracking,QuotaGateV6,0.0013400000000000011,0.90134,0.901,0.9981263840198517,-3.5417079925670336e-06,0.00018411874771118164,1.0000035368226738,,,
Amazon-VideoGames,runtime,Mu-only,,,,,,,,2.1398067474365234e-05,0.021398067474365234,1.0
Amazon-VideoGames,runtime,Penalty,,,,,,,,3.027944564819336e-05,0.03027944564819336,1.4150551532033426
Amazon-VideoGames,runtime,Hard,,,,,,,,0.0001238290309906,0.1238290309906,5.786925905292452
Amazon-VideoGames,runtime,Primal-Dual,,,,,,,,0.0001659224668517,0.1659224668517,7.754086533771061
Amazon-VideoGames,runtime,QuotaGateV6,,,,,,,,0.0001905597686767,0.19055976867670002,8.905466295261922
ML-1M,feedback_tracking,Penalty,0.008979999999999993,0.9078,0.8835,0.9983111143112182,-6.231784820556418e-05,0.00020754337310779913,1.0000625116490842,,,
ML-1M,feedback_tracking,Primal-Dual,0.02582,0.9258200000000001,0.9,0.8769507920742035,0.12129800438880921,0.47115826606750477,0.8781556347907101,,,
ML-1M,feedback_tracking,QuotaGateV6,0.0007600000000000007,0.89976,0.898,0.9982116222381592,3.717422485349564e-05,0.00021564960479736328,0.9999629625494026,,,
ML-1M,runtime,Mu-only,,,,,,,,2.285199611761793e-05,0.022851996117617932,1.0
ML-1M,runtime,Penalty,,,,,,,,2.207274069545085e-05,0.02207274069545085,0.9658998969649611
ML-1M,runtime,Hard,,,,,,,,0.0001081825389087,0.1081825389087,4.73405204306401
ML-1M,runtime,Primal-Dual,,,,,,,,0.0001485448728786,0.14854487287860002,6.500301860461027
ML-1M,runtime,QuotaGateV6,,,,,,,,0.0001608867534646,0.1608867534646,7.040380745582354
ML-20M,feedback_tracking,Penalty,0.03358000000000003,0.86662,0.856,0.9961193478107453,0.00014300823211670365,0.006562709808349609,0.9998554692953797,,,
ML-20M,feedback_tracking,Primal-Dual,0.001140000000000001,0.9004599999999999,0.897,0.8302936750650406,0.16596868097782136,0.5056684315204623,0.8333162060837913,,,
ML-20M,feedback_tracking,QuotaGateV6,0.0011800000000000011,0.9011800000000001,0.9,0.9962425601482391,1.979589462283604e-05,0.00021934509277365954,0.9999801272381474,,,
ML-20M,runtime,Mu-only,,,,,,,,2.1685171127319336e-05,0.021685171127319335,1.0
ML-20M,runtime,Penalty,,,,,,,,3.0313587188720704e-05,0.030313587188720705,1.3978947646177966
ML-20M,runtime,Hard,,,,,,,,0.000122649860382,0.122649860382,5.655932326375958
ML-20M,runtime,Primal-Dual,,,,,,,,0.0001644952463917,0.1644952463917,7.585609789561041
ML-20M,runtime,QuotaGateV6,,,,,,,,0.0001768861293792,0.1768861293792,8.157008692283545
